,Movie_Name,Released_year,Director,movie_Rating,User_voting,Movie_details_Link
0,The Shawshank Redemption,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2,2686536,/title/tt0111161/
1,The Godfather,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.2,1863088,/title/tt0068646/
2,The Dark Knight,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",9,2659780,/title/tt0468569/
3,The Godfather Part II,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9,1274722,/title/tt0071562/
4,12 Angry Men,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",9,793574,/title/tt0050083/
5,Schindler's List,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9,1358939,/title/tt0108052/
6,The Lord of the Rings: The Return of the King,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9,1850920,/title/tt0167260/
7,Pulp Fiction,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.8,2061179,/title/tt0110912/
8,The Lord of the Rings: The Fellowship of the Ring,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8,1880511,/title/tt0120737/
9," Il buono, il brutto, il cattivo",1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8,764386,/title/tt0060196/
10,Forrest Gump,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.8,2085260,/title/tt0109830/
11,Fight Club,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",8.7,2131960,/title/tt0137523/
12,The Lord of the Rings: The Two Towers,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7,1671405,/title/tt0167261/
13,Inception,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,2359239,/title/tt1375666/
14,The Empire Strikes Back,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7,1296078,/title/tt0080684/
15,The Matrix,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.7,1918034,/title/tt0133093/
16,GoodFellas,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.7,1165543,/title/tt0099685/
17,One Flew Over the Cuckoo's Nest,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.6,1010909,/title/tt0073486/
18,Se7en,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6,1657900,/title/tt0114369/
19,Shichinin no samurai,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6,347808,/title/tt0047478/
20,It's a Wonderful Life,1946,"Frank Capra (dir.), James Stewart, Donna Reed",8.6,465032,/title/tt0038650/
